sample_date,facility,sampling_point,discharge_route,parameter_code,parameter_tr,value,unit,measured_flag,notes
2025-01-11,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TEMP_C,SICAKLIK,27.5,°C,True,
2025-01-11,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,COLOR,RENK,189.7,Pt-Co,True,
2025-01-11,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,NH4,NH4,0.073,mg/L,True,
2025-01-11,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,CL_FREE,KLOR,,mg/L,False,
2025-01-11,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,CR_TOTAL,T KROM,,mg/L,False,
2025-01-11,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,SULFUR,SÜLFÜR,0.045,mg/L,True,
2025-01-11,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,SULFITE,SÜLFİT,0.085,mg/L,True,
2025-01-11,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,PHENOL,FENOL,0.508,mg/L,True,
2025-01-11,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,OIL_GREASE,YAĞ GRES,,mg/L,False,
2025-01-11,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,ZN,ÇİNKO,,mg/L,False,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,COD,KOI,180.0,mg/L,True,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TSS,AKM,45.0,mg/L,True,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,PH,PH,8.28,,True,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TEMP_C,SICAKLIK,28.3,°C,True,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,COLOR,RENK,229.9,Pt-Co,True,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,NH4,NH4,0.071,mg/L,True,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,CL_FREE,KLOR,,mg/L,False,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,CR_TOTAL,T KROM,,mg/L,False,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,SULFUR,SÜLFÜR,0.049,mg/L,True,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,SULFITE,SÜLFİT,0.009,mg/L,True,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,PHENOL,FENOL,0.549,mg/L,True,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,OIL_GREASE,YAĞ GRES,,mg/L,False,
2025-01-12,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,ZN,ÇİNKO,,mg/L,False,
2025-01-13,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,COD,KOI,168.0,mg/L,True,
